;players;;;win;;score;game of (excl 2points gap);date;;
;(will);(phil);;(1)/(0) *selon le joueur de gauche;;(11-6);(11);(2024-03-12);;ERREUR?
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
;;;;0;;;;;;
